"State","Effective_Date","Valid_Through_Date","Bans_Prohibit","Limited_Law","Limited_Court","Limited_AG","Prohibit_Req","Bans_gest_Any.point.in.pregnancy","Bans_gest_Fetal.heartbeat.detected","Bans_gest_4.weeks.postfertilization..6.weeks.LMP..","Bans_gest_6.weeks.postfertilization..8.weeks.LMP..","Bans_gest_8.weeks.postfertilization..10.weeks.LMP.","Bans_gest_10.weeks.postfertilization..12.weeks.LMP..","Bans_gest_12.weeks.postfertilization..14.weeks.LMP.","Bans_gest_13.weeks.postfertilization..15.weeks.LMP.","Bans_gest_16.weeks.postfertilization..18.weeks.LMP..","Bans_gest_18.weeks.postfertilization..20.weeks.LMP.","Bans_gest_19.weeks.postfertilization..21.weeks.LMP.","Bans_gest20.weeks.postfertilization..22.weeks.LMP.","Bans_gest_21.weeks.postfertilization..23.weeks.LMP..","Bans_gest_22.weeks.postfertilization..24.weeks.LMP.","Bans_gest_24.weeks.postfertilization..26.weeks.LMP.","Bans_gestViability","Bans_gest_Fetus.is.capable.of.feeling.pain","Bans_gest_3rd.trimester","Prohibit_ExcLife.endangerment","Prohibit_ExcSerious.health.risk","Prohibit_Exc_Fetal.anomaly","Prohibit_Exc_Rape","Prohibit_Exc_Incest","Prohibit_Exc_Health","Exc_Req_Must.be.performed.in.a.hospital","Exc_ReqMust.use.a.method.most.likely.to.result.in.fetal.survival","Exc_Req_Second.physician.must.participate","Exc_Req_Second.physician.must.certify.the.exception","Exc_Req_Two.other.physicians.must.certify.the.exception","Exc_Req_Second.physician.must.attend.the.abortion","Exc_Req_No.requirements","Reason_Prohibit","Reason_What_Race","Reason_What_Sex","Reason_What_Down.syndrome","Reason_What_Fetal.anomaly","Reason_What_Fetal.disability","Reason_What_Scientific.research","Methods_Prohibit","Methods_ProcedPartial.birth.abortions","Methods_ProcedDismemberment.abortions","Methods_Proced_Saline.method.abortions","Methods_ExcLife.endangerment","Methods_ExcSerious.health.risk","Methods_Exc_Fetal.anomaly","Methods_Exc_No.exceptions","TriggerBan","Bans_PreRoe","Rank","Total","Emotional...Physical.Well.Being","Work.Enviroment","Community...Enviroment","Average.Age.Death","Average.Pregnacy.Age","Region","WQLI"
"North Carolina","2019-03-25","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,26,53.55,15,28,38,80.2,24.6,"South",274.35
"North Dakota","2022-10-31","2022-11-01",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,13,58.02,14,5,21,81.7,24.7,"North Central",237.42
"Ohio","2022-10-12","2022-11-01",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,37,47.77,35,31,34,79.3,24.7,"North Central",308.77
"Oklahoma","2022-08-26","2022-11-01",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,41,44.09,46,43,4,78.2,23.1,"South",302.39
"Oregon","2018-12-01","2022-11-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,47.67,34,36,31,81.9,25.4,"West",293.97
"Pennsylvania","2018-12-01","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,25,53.96,17,35,27,80.8,25.5,"Northeast",277.26
"Rhode Island","2022-01-04","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,29,52.4,22,12,46,82.2,26.2,"Northeast",275.8
"South Carolina","2022-08-17","2022-11-01",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,20,55.27,28,20,11,79.3,24,"South",255.57
"South Dakota","2022-06-24","2022-11-01",1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,18,55.93,27,9,16,81.4,24,"North Central",246.33
"Tennessee","2022-08-25","2022-11-01",1,0,NA,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,48,38.3,45,38,49,78.1,24,"South",347.4
"Texas","2022-08-29","2022-11-01",1,0,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,1,0,39,47.66,25,40,50,80.8,23.9,"South",322.36
"Utah","2022-09-01","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,69.79,16,1,1,81.5,23.9,"West",215.19
"Vermont","2018-12-01","2022-11-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,52.78,37,10,7,81.7,26.5,"Northeast",242.98
"Virginia","2020-07-01","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,14,57.69,13,8,35,81.3,25.8,"South",246.79
"Washington","2022-06-09","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,22,54.87,26,23,12,82.1,25.9,"West",251.87
"West Virginia","2022-09-13","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,50,35.08,50,50,33,77.3,23.9,"South",340.28
"Wisconsin","2022-06-24","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,1,19,55.74,19,13,32,81.6,25.3,"North Central",259.64
"Wyoming","2022-08-10","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,36,48.06,38,26,19,80.3,23.7,"West",283.06
